,store_nbr,weekday,id,item_nbr,unit_sales,class,perishable,cluster
0,1,0,8569796068217,113130291417,571471.3150000005,199797964,31374,1328795
1,1,1,8519412278524,112091518747,550301.5399999999,198167913,31030,1318616
2,1,2,8892593407539,116712503236,697562.5639999973,206891521,32215,1376037
3,1,3,8403938574534,110082648004,520349.4580000004,194678556,30310,1298674
4,1,4,8693520057015,113255106374,611020.9739999999,201780476,31742,1340157
5,1,5,8864718034384,116677094855,582556.7290000002,206305587,32112,1371903
6,1,6,6163794120157,81454198820,260230.14100000067,141537148,25385,958022
7,2,0,9540198801451,125734277953,879594.0859999966,222535444,32979,1476787
8,2,1,9392842695476,123595027560,746617.7810000018,218696163,32671,1453348
9,2,2,9598925325295,126180867753,790095.9880000018,222781416,33602,1482572
10,2,3,9277558401139,121490852539,664717.2699999964,214883454,32580,1430910
11,2,4,9694134574449,126648828876,808710.4580000013,224432710,33893,1493544
12,2,5,10411647392116,137493553850,955630.3710000005,245786813,35337,1609998
13,2,6,10049695453280,133717024806,1037878.2400000016,239614583,34372,1563107
14,3,0,11039928957169,146229829816,1821736.6969999843,267823437,36350,1050992
15,3,1,10937023391749,144359582127,1642009.1199999994,263804825,36115,1040096
16,3,2,11175143289380,147670181374,1988693.303,269976174,36744,1061464
17,3,3,10853758113860,142879798210,1467518.7619999994,261023905,35837,1029616
18,3,4,11253337938781,148247655008,1890667.912,272139311,36816,1066296
19,3,5,11845545004187,157476090009,2339052.972000003,292268061,37678,1126560
20,3,6,11311349333744,151251330417,2496849.907999996,281536431,36299,1081800
21,4,0,8962955915886,116991500076,659396.9909999957,207521579,31436,961785
22,4,1,8832177429198,115092415128,597475.5080000013,204346754,31042,946467
23,4,2,9058034616841,117920107711,698301.1809999993,208796939,31877,969219
24,4,3,8659940262811,112383752080,532395.4479999996,199419897,30708,924948
25,4,4,9130958343332,118177298542,656102.9280000014,210618180,32091,974502
26,4,5,9908445771308,129565444026,847292.8369999946,232183977,33661,1061460
27,4,6,9644045981865,127084838890,1001399.775999996,228641835,32861,1039428
28,5,0,8432379135667,110720220804,518579.1990000012,200963615,27125,402008
29,5,1,8137367490636,106568261351,468860.11400000023,193497523,26375,387648
30,5,2,8261766227712,108212131309,506457.8300000021,196069345,27101,392972
31,5,3,7942493915667,103502273864,432518.94999999664,187902212,25484,377320
32,5,4,8341707012106,108642571635,507088.2009999993,197593252,26924,396044
33,5,5,8949579885228,117353739665,572446.4020000042,214322227,28212,426048
34,5,6,8697035200442,115119277875,592318.289999999,209807501,27647,416152
35,6,0,9944622157699,129879825682,898329.9029999948,233045937,32918,1539278
36,6,1,9744542811225,126954944420,794249.9600000024,228348518,32504,1507649
37,6,2,9935182129999,129324971769,894710.8069999976,232442691,33273,1534780
38,6,3,9549333032592,123831267694,690435.648000003,222412372,32136,1473433
