,city,unit_sales
0,Playas,2006838.731000012
1,Puyo,2060382.2090000056
2,Salinas,2654329.62100004
3,Riobamba,2841624.627000029
4,Ibarra,2906757.253999967
5,El Carmen,2944339.722000011
6,Guaranda,3343913.657000009
7,Quevedo,3463768.892999993
8,Esmeraldas,3982617.4129999913
9,Libertad,4324613.67800001
10,Loja,4442426.40799997
11,Manta,4554241.326000027
12,Babahoyo,4640206.835000051
13,Daule,5232005.170000012
14,Latacunga,5298271.949999967
15,Cayambe,7073752.673999953
16,Machala,9116892.746999944
17,Santo Domingo,10085993.432999896
18,Ambato,10118325.447999988
19,Cuenca,14810452.979000062
20,Guayaquil,33397012.62199991
21,Quito,149334607.8549953
