store_nbr,date,unit_sales
1,2013-01-02,7417.148
1,2013-01-03,5873.243999999997
1,2013-01-04,5919.878999999999
1,2013-01-05,6318.785
1,2013-01-06,2199.0869999999995
1,2013-01-07,6150.924000000001
1,2013-01-08,5597.181000000002
1,2013-01-09,6808.578999999999
1,2013-01-10,4757.715
1,2013-01-11,5494.016000000001
1,2013-01-12,5467.782999999999
1,2013-01-13,2693.878
1,2013-01-14,5651.685000000001
1,2013-01-15,5204.174
1,2013-01-16,6733.596
1,2013-01-17,4942.474
1,2013-01-18,5923.124
1,2013-01-19,5895.145999999998
1,2013-01-20,2371.1340000000005
1,2013-01-21,5227.602000000002
1,2013-01-22,5298.986000000002
1,2013-01-23,6259.3460000000005
1,2013-01-24,4861.524000000001
1,2013-01-25,5577.700999999997
1,2013-01-26,5290.326999999999
1,2013-01-27,2439.378
1,2013-01-28,4976.808000000002
1,2013-01-29,4681.511
1,2013-01-30,6118.886999999998
1,2013-01-31,4712.577
1,2013-02-01,5782.778999999997
1,2013-02-02,5706.919000000002
1,2013-02-03,2267.983
1,2013-02-04,5574.040999999999
1,2013-02-05,5080.785999999999
1,2013-02-06,6107.431999999998
1,2013-02-07,4452.243000000001
1,2013-02-08,5593.812000000001
1,2013-02-09,4435.571999999999
1,2013-02-10,1199.1350000000002
1,2013-02-11,1344.75
1,2013-02-12,1852.0149999999994
1,2013-02-13,6121.724999999999
1,2013-02-14,4999.188000000001
1,2013-02-15,5387.788
1,2013-02-16,5625.384999999998
1,2013-02-17,1747.0810000000004
1,2013-02-18,5343.7789999999995
1,2013-02-19,5229.717999999999
1,2013-02-20,6024.070000000001
1,2013-02-21,5325.730999999998
1,2013-02-22,5781.509999999999
1,2013-02-23,5426.9890000000005
1,2013-02-24,2295.711999999999
1,2013-02-25,5333.275000000001
1,2013-02-26,4710.2789999999995
1,2013-02-27,6054.943
1,2013-02-28,5009.692000000001
1,2013-03-01,5940.5560000000005
1,2013-03-02,5817.467000000001
1,2013-03-03,2436.827
1,2013-03-04,6094.492000000002
1,2013-03-05,4968.634
1,2013-03-06,6845.538
1,2013-03-07,5199.071000000001
1,2013-03-08,6010.675999999999
1,2013-03-09,5665.511
1,2013-03-10,2601.404000000001
1,2013-03-11,5504.897999999998
1,2013-03-12,4965.084999999999
1,2013-03-13,6077.775999999999
1,2013-03-14,4557.174
1,2013-03-15,5638.477999999999
1,2013-03-16,5799.478999999999
1,2013-03-17,2258.6110000000003
1,2013-03-18,5161.344999999999
1,2013-03-19,4942.252
1,2013-03-20,6195.922
1,2013-03-21,5097.208999999999
1,2013-03-22,5795.069
1,2013-03-23,5518.596
1,2013-03-24,2056.88
1,2013-03-25,5233.4130000000005
1,2013-03-26,4812.275999999999
1,2013-03-27,6387.455
1,2013-03-28,5686.706
1,2013-03-29,2001.7290000000003
1,2013-03-30,4353.329999999998
1,2013-03-31,2042.369
1,2013-04-01,6144.8809999999985
1,2013-04-02,5774.1849999999995
1,2013-04-03,7074.953
1,2013-04-04,4896.498
1,2013-04-05,6304.927000000002
1,2013-04-06,5594.087999999999
1,2013-04-07,2363.74
1,2013-04-08,5378.179999999999
1,2013-04-09,4803.335000000001
1,2013-04-10,6835.486999999998
1,2013-04-11,4701.458999999999
1,2013-04-12,6212.329999999998
1,2013-04-13,5493.9519999999975
1,2013-04-14,2209.9210000000003
1,2013-04-15,5462.558
1,2013-04-16,5367.8099999999995
1,2013-04-17,6207.243
1,2013-04-18,5004.652999999999
1,2013-04-19,5339.898999999998
1,2013-04-20,5759.571000000002
1,2013-04-21,2449.28
1,2013-04-22,5504.771
1,2013-04-23,5085.243
1,2013-04-24,7112.197
1,2013-04-25,4722.562999999999
1,2013-04-26,6316.556000000001
1,2013-04-27,5334.138999999999
1,2013-04-28,2427.34
1,2013-04-29,4488.657000000001
1,2013-04-30,5478.0779999999995
1,2013-05-01,2677.9300000000003
1,2013-05-02,5648.427
1,2013-05-03,7051.153
1,2013-05-04,5797.937
1,2013-05-05,2723.9039999999995
1,2013-05-06,5813.939
1,2013-05-07,5586.958999999998
1,2013-05-08,6351.424
1,2013-05-09,5049.362000000001
1,2013-05-10,6135.393999999998
1,2013-05-11,6289.375000000002
1,2013-05-12,1904.5529999999999
1,2013-05-13,5637.6140000000005
1,2013-05-14,5528.374999999999
1,2013-05-15,5901.737999999999
1,2013-05-16,5459.329
1,2013-05-17,6021.054
1,2013-05-18,5681.288
1,2013-05-19,2037.1320000000003
1,2013-05-20,5221.561
1,2013-05-21,4932.974000000001
1,2013-05-22,5896.853000000001
1,2013-05-23,5426.115
1,2013-05-24,2195.219
1,2013-05-25,4255.778
1,2013-05-26,1621.7830000000004
1,2013-05-27,5194.109
1,2013-05-28,5133.557000000001
1,2013-05-29,6685.5729999999985
1,2013-05-30,4949.254999999998
1,2013-05-31,6155.988000000001
1,2013-06-01,6180.505000000001
1,2013-06-02,1729.6099999999992
1,2013-06-03,6302.145000000001
1,2013-06-04,5893.591
1,2013-06-05,7261.88
1,2013-06-06,5565.6320000000005
1,2013-06-07,6704.611000000002
1,2013-06-08,5537.824999999999
1,2013-06-09,2331.6489999999994
1,2013-06-10,5703.609000000001
1,2013-06-11,5368.142
1,2013-06-12,6200.097999999999
1,2013-06-13,4737.133
1,2013-06-14,6056.953
1,2013-06-15,5452.685999999998
1,2013-06-16,1983.0739999999996
1,2013-06-17,5964.641
1,2013-06-18,5096.6050000000005
1,2013-06-19,6747.888000000002
1,2013-06-20,4725.838000000002
1,2013-06-21,5608.436
1,2013-06-22,5257.657000000001
1,2013-06-23,2207.9660000000003
1,2013-06-24,5225.463
1,2013-06-25,5698.107000000002
1,2013-06-26,5962.6939999999995
1,2013-06-27,4822.808000000001
1,2013-06-28,6044.441000000001
1,2013-06-29,5525.238999999999
1,2013-06-30,2154.501
1,2013-07-01,5837.525000000001
1,2013-07-02,5787.7119999999995
1,2013-07-03,6671.412999999998
1,2013-07-04,5126.386
1,2013-07-05,5998.663999999999
1,2013-07-06,5157.274
1,2013-07-07,2257.247999999999
1,2013-07-08,5785.949000000001
1,2013-07-09,5276.898
1,2013-07-10,6142.588000000002
1,2013-07-11,4929.227999999999
1,2013-07-12,5600.980999999997
1,2013-07-13,5136.321000000001
1,2013-07-14,1841.9790000000003
1,2013-07-15,5314.5019999999995
1,2013-07-16,5756.5289999999995
1,2013-07-17,5843.330000000003
1,2013-07-18,4763.806
1,2013-07-19,6212.646
1,2013-07-20,5084.118
1,2013-07-21,1905.6700000000003
1,2013-07-22,5047.601000000001
1,2013-07-23,5644.173000000002
1,2013-07-24,5855.491000000001
1,2013-07-25,5112.656999999999
1,2013-07-26,5635.063999999999
1,2013-07-27,5003.337000000001
1,2013-07-28,1795.154
1,2013-07-29,5769.124999999999
1,2013-07-30,4467.499
1,2013-07-31,5996.350000000001
1,2013-08-01,6136.872999999999
1,2013-08-02,5517.759
1,2013-08-03,5394.977
1,2013-08-04,1837.9749999999992
1,2013-08-05,5594.295000000001
1,2013-08-06,5130.626
1,2013-08-07,5952.391
1,2013-08-08,4739.294
1,2013-08-09,5630.461
1,2013-08-10,3537.3489999999997
1,2013-08-11,1862.6440000000002
1,2013-08-12,5528.931
1,2013-08-13,4613.630999999999
1,2013-08-14,5701.057
1,2013-08-15,4974.403999999999
1,2013-08-16,5719.501000000002
1,2013-08-17,4919.994
1,2013-08-18,1843.3599999999994
1,2013-08-19,5127.268999999999
1,2013-08-20,4658.070000000001
1,2013-08-21,5531.861999999999
1,2013-08-22,4568.639000000003
1,2013-08-23,5678.173
1,2013-08-24,4615.945999999999
1,2013-08-25,2079.3010000000004
1,2013-08-26,5323.87
1,2013-08-27,5163.910999999998
1,2013-08-28,5864.234999999999
1,2013-08-29,4654.188
1,2013-08-30,5969.395
1,2013-08-31,5312.932000000001
1,2013-09-01,2604.8159999999993
1,2013-09-02,5619.513
1,2013-09-03,5457.172
1,2013-09-04,6430.777
1,2013-09-05,5171.709000000001
1,2013-09-06,6155.613000000001
1,2013-09-07,5474.835000000003
1,2013-09-08,2208.7529999999992
1,2013-09-09,5344.079
1,2013-09-10,4829.315
