,store_nbr,weekday,id,item_nbr,unit_sales,class,perishable,cluster
0,1,0,4352259556886,78820756443,466464.777000001,163537495,24568,1082718
1,1,1,4304043127057,77576654287,453905.3670000015,161412721,24115,1067144
2,1,2,4596816086415,82795893359,573128.0210000009,172291734,25500,1138839
3,1,3,4364290093117,78532141566,446512.25700000057,163079706,24327,1079832
4,1,4,4263758511271,76957059071,499931.0060000027,161204910,24229,1069874
5,1,5,4417074728722,79847959385,476658.35300000105,166089253,24680,1101425
6,1,6,3155216469629,57181149074,203980.06799999997,116793195,19907,784173
7,2,0,4885346040598,88150128817,633775.2300000014,185011297,26564,1214473
8,2,1,4821596922159,86840941971,591121.2229999994,181921116,26420,1196728
9,2,2,4956585224667,89097983154,715093.631999999,187071812,27067,1227902
10,2,3,4798861360147,86034767965,566784.8699999994,180033001,26327,1187121
11,2,4,4758411137649,85825372086,632367.7669999971,181749187,26334,1195948
12,2,5,5167895132164,93465155606,797598.4749999992,198139122,27667,1289379
13,2,6,5160809994725,93208796837,878300.8419999997,198790296,27805,1284595
14,3,0,5547212042507,100242405590,1524028.8329999999,216147291,28596,847448
15,3,1,5499247782597,99090806156,1363291.5959999997,213509525,28497,838856
16,3,2,5607630694380,101125037683,1627275.3349999923,217316769,28945,853992
17,3,3,5489902498366,98798749731,1258991.4270000036,212098575,28463,835248
18,3,4,5396242818299,97880653242,1493024.5410000014,212983994,28149,833528
19,3,5,5783125682920,104974155780,1978308.966000003,229783440,29040,886296
20,3,6,5711520507407,103416290026,2124300.167000005,227510012,28870,873744
21,4,0,4578245608890,81923096410,551485.2710000004,171487986,25367,787473
22,4,1,4517976383117,80739565453,508720.4139999998,168550362,25090,775368
23,4,2,4676437254976,83469784933,594813.4950000003,174377733,25946,801783
24,4,3,4458229214850,79585335461,455045.33299999946,166006766,24834,763497
25,4,4,4474615200246,80291649702,524646.4530000014,169340111,25085,778347
26,4,5,4921792272049,88526829847,700970.4950000021,186800351,26477,849222
27,4,6,4964179432398,89131749040,848368.2419999979,189069307,26857,854631
28,5,0,4466598681731,80255110302,505475.7039999997,172564307,22358,341888
29,5,1,4350150807101,77965031140,456156.2179999964,167634445,21698,332756
30,5,2,4441750476072,79608593711,500376.42499999993,170724488,22378,339200
31,5,3,4274343329384,76407099530,431360.8780000014,163735004,21480,326084
32,5,4,4238830027213,76337685919,468924.7449999999,164876092,21487,328580
33,5,5,4617501865862,83131021241,549363.8740000004,179663527,22584,355308
34,5,6,4642144004612,83421146212,606485.1060000001,181623833,22912,356264
35,6,0,5090996739698,91214076556,762557.0830000006,192895794,26972,1264237
36,6,1,5001609984942,89355852192,673832.4950000003,188501988,26613,1239862
37,6,2,5091774528506,90961271772,740237.2379999999,192436681,27230,1260727
38,6,3,4919204134258,87635707148,593293.9149999998,184125079,26467,1216969
39,6,4,4857363731228,87147198752,667248.2390000001,185183747,26325,1220154
40,6,5,5363986806802,96574411508,950500.106999998,206662329,27686,1336478
41,6,6,5388144643226,96953440690,1156052.0309999983,208822167,28034,1339715
42,7,0,4868612686035,87472966034,904619.4650000033,184643657,26728,744168
43,7,1,4774413503162,85533391676,821337.616,180108805,26244,728648
44,7,2,4939554161918,88576378781,971165.9330000017,186273650,26967,752840
45,7,3,4744472186108,84743545715,759545.9250000009,177952452,26223,721920
46,7,4,4671154377189,83876961493,850029.0179999996,177863407,26036,720960
47,7,5,4761946038318,85546392448,811494.4430000002,180899821,26339,730336
48,7,6,4718988573210,84696870617,797690.2749999941,180188862,26426,722240
49,8,0,5331162617957,96865301007,875175.3719999993,205684248,28880,813656
50,8,1,5237844063672,95002395805,790211.6170000009,200983247,28476,798136
51,8,2,5409571185616,98073846535,996388.2840000032,207486644,29190,823272
52,8,3,5224216350766,94647799170,735878.7569999985,199500866,28576,794064
53,8,4,5210407836506,95039250383,918162.670000001,202982128,28613,804320
54,8,5,5622332223569,102579698409,1204443.1059999948,219972311,29551,860952
55,8,6,5501972320029,100120220478,1175440.5150000069,215765710,29438,841088
56,9,0,4565418674865,81180103769,814289.2969999979,175111298,19943,524040
57,9,1,4564222401592,81009757841,791082.0419999975,174541717,19929,522612
58,9,2,4483996782428,79572749556,688942.879999998,171007273,19592,512646
59,9,3,4517300170694,79995845714,702936.9769999989,171918717,19749,516198
60,9,4,4267606417187,76002341122,612309.1900000001,164988432,18696,495510
61,9,5,4843468203582,86306152653,1023112.4050000005,189049834,20751,557586
62,9,6,4852431983719,86271177522,1214161.7330000016,190142190,21115,557034
63,10,0,2874672213325,50917346569,304654.4830000001,104894696,10510,826770
64,10,1,2875214872272,51017549281,306978.716,104947086,10385,825645
65,10,2,2778538400406,48974939204,262006.38100000023,100629278,10126,795210
