store_nbr,state,unit_sales
1,Pichincha,2899709.5180999734
2,Pichincha,4426115.143099987
3,Pichincha,10291149.143100025
4,Pichincha,3994865.9502000418
5,Santo Domingo de los Tsachilas,3608638.1816000105
6,Pichincha,5215970.562000075
7,Pichincha,5455374.075499959
8,Pichincha,6354256.112299972
9,Pichincha,5362855.439400034
10,Pichincha,2071195.1287999868
11,Pichincha,5870862.501799999
12,Cotopaxi,2194587.877300005
13,Cotopaxi,2144788.91910001
14,Chimborazo,2203211.776400002
15,Imbabura,2284864.691899996
16,Santo Domingo de los Tsachilas,2672003.919599996
17,Pichincha,3215758.044400015
18,Pichincha,2935647.6628000126
19,Bolivar,2630072.6548999925
23,Tungurahua,2410753.3022999596
24,Guayas,3925140.126800004
25,Santa Elena,2359695.10259995
26,Guayas,1717790.450699996
27,Guayas,3700208.3248999887
28,Guayas,3532508.2214000165
30,Guayas,1468839.8665000007
31,Los Rios,3574828.202599997
32,Guayas,1141409.056599996
33,Los Rios,3165617.3158999793
34,Guayas,3863087.5757999895
35,Guayas,1506894.4475000077
36,Guayas,3027435.4010999785
37,Azuay,4550328.345999955
38,Loja,4309158.543499964
39,Azuay,3814116.4612000375
40,El Oro,3533060.7138000033
41,El Oro,2901892.501900025
43,Esmeraldas,3210981.468599998
44,Pichincha,13380209.11459997
45,Pichincha,11245711.69639996
46,Pichincha,8709581.86059996
47,Pichincha,10455264.669800004
48,Pichincha,7602765.750499946
49,Pichincha,8122543.230499869
50,Tungurahua,5939996.568299957
51,Guayas,7003759.632100003
53,Manabi,1376497.0591999998
54,Manabi,2092119.2677999935
