,city,unit_sales
0,Playas,1285331.3939999987
1,Puyo,1517214.2320000047
2,Ibarra,1855465.5919999904
3,Riobamba,1867289.3940000045
4,El Carmen,2069327.5679999958
5,Guaranda,2120811.7830000054
6,Salinas,2137267.028000001
7,Quevedo,2200351.16
8,Libertad,2749430.512999985
9,Loja,3005987.8990000184
10,Babahoyo,3018869.0490000336
11,Esmeraldas,3286373.6920000343
12,Latacunga,3369018.7580000274
13,Daule,3507027.618999961
14,Cayambe,4624729.006
15,Manta,5407708.94199999
16,Machala,6450059.3990000915
17,Santo Domingo,6751427.042000053
18,Ambato,6821123.496000117
19,Cuenca,9990350.836999988
20,Guayaquil,21823258.57899983
21,Quito,98358518.39299613
