store_nbr,state,unit_sales
1,Pichincha,3793492.7210000195
2,Pichincha,5883244.194000008
3,Pichincha,13646528.673999758
4,Pichincha,4992364.669000007
5,Santo Domingo de los Tsachilas,3598268.985999989
6,Pichincha,6635349.587999982
7,Pichincha,7519493.760999887
8,Pichincha,8192807.877000111
9,Pichincha,6794256.183000033
10,Pichincha,2291190.6529999967
11,Pichincha,7073752.673999953
12,Cotopaxi,2778086.0150000006
13,Cotopaxi,2520185.935000011
14,Chimborazo,2841624.627000029
15,Imbabura,2906757.253999967
16,Santo Domingo de los Tsachilas,2361017.7930000057
17,Pichincha,5201351.669999896
18,Pichincha,2690695.745000025
19,Bolivar,3343913.657000009
20,Pichincha,5426783.521000057
21,Santo Domingo de los Tsachilas,4126706.6539999815
22,Pastaza,2060382.2090000056
23,Tungurahua,2946969.796999984
24,Guayas,6478364.048000061
25,Santa Elena,2654329.62100004
26,Guayas,1756819.2239999832
27,Guayas,5232005.170000012
28,Guayas,5040347.190999963
29,Guayas,4181542.5220000283
30,Guayas,1945135.7299999977
31,Los Rios,4640206.835000051
32,Guayas,1480657.6039999947
33,Los Rios,3463768.892999993
34,Guayas,4024860.3730000397
35,Guayas,2006838.731000012
36,Guayas,4324613.67800001
37,Azuay,4892859.065000068
38,Loja,4442426.40799997
39,Azuay,5601327.020000025
40,El Oro,5067166.006999987
41,El Oro,4049726.7400000077
42,Azuay,4316266.8939999435
43,Esmeraldas,3982617.4129999913
44,Pichincha,16365473.024999999
45,Pichincha,14524087.953999655
46,Pichincha,10376443.336999837
47,Pichincha,13376745.427999785
48,Pichincha,8931550.360000009
49,Pichincha,12692748.495000023
50,Tungurahua,7171355.651000103
51,Guayas,8489285.930000015
53,Manabi,4554241.326000027
54,Manabi,2944339.722000011
