store_nbr,state,unit_sales
1,Pichincha,3120579.848999998
2,Pichincha,4815042.038999962
3,Pichincha,11369220.864999937
4,Pichincha,4184049.702999997
5,Santo Domingo de los Tsachilas,3518142.950000011
6,Pichincha,5543721.108000011
7,Pichincha,5915882.675000007
8,Pichincha,6695700.320999958
9,Pichincha,5846834.523999991
10,Pichincha,2116055.283000007
11,Pichincha,6186710.355999989
12,Cotopaxi,2165670.10899999
13,Cotopaxi,2652913.2620000085
14,Chimborazo,2525439.3039999926
15,Imbabura,2619541.240999988
16,Santo Domingo de los Tsachilas,2543629.128000019
17,Pichincha,3912243.6200000145
18,Pichincha,3075841.426999994
19,Bolivar,3124315.0389999934
20,Pichincha,3881914.5379999927
21,Santo Domingo de los Tsachilas,2148742.652000002
22,Pastaza,512605.30000000034
23,Tungurahua,2441933.261000028
24,Guayas,5597467.222999959
25,Santa Elena,2605974.23200001
26,Guayas,1644435.113999998
27,Guayas,4330859.6259999955
28,Guayas,4122320.5040000044
29,Guayas,2731539.004000002
30,Guayas,1643827.1690000084
31,Los Rios,4121906.407999992
32,Guayas,1235957.4879999994
33,Los Rios,3233391.217999966
34,Guayas,3754910.355999987
35,Guayas,1867491.5850000111
36,Guayas,3943378.436999964
37,Azuay,4505807.615000035
38,Loja,4347387.6329999715
39,Azuay,4440204.402000012
40,El Oro,4305866.314999986
41,El Oro,3365828.070000001
42,Azuay,1564016.0480000074
43,Esmeraldas,3797679.9760000077
44,Pichincha,13524420.141999893
45,Pichincha,11973483.881999915
46,Pichincha,9331017.191000074
47,Pichincha,11320021.339999832
48,Pichincha,8051027.2000001
49,Pichincha,10035304.405999927
50,Tungurahua,6243627.286000003
51,Guayas,7327941.529999937
53,Manabi,2562626.687999978
54,Manabi,2421384.008
