,city,unit_sales
0,Manta,1376497.0591999998
1,Playas,1506894.4475000077
2,El Carmen,2092119.2677999935
3,Riobamba,2203211.776400002
4,Ibarra,2284864.691899996
5,Salinas,2359695.10259995
6,Guaranda,2630072.6548999925
7,Libertad,3027435.4010999785
8,Quevedo,3165617.3158999793
9,Esmeraldas,3210981.468599998
10,Babahoyo,3574828.202599997
11,Daule,3700208.3248999887
12,Loja,4309158.543499964
13,Latacunga,4339376.796400017
14,Cayambe,5870862.501799999
15,Santo Domingo,6280642.101200055
16,Machala,6434953.215700074
17,Ambato,8350749.870599954
18,Cuenca,8364444.807199928
19,Guayaquil,22652534.929900423
20,Quito,111738973.10209176
