,store_nbr,weekday,id,item_nbr,unit_sales,class,perishable,cluster
0,1,0,449784687195,35949166508,296240.3209999994,102380790,13564,705419
1,1,1,445684000723,35603103800,281168.56299999956,101465149,13322,699426
2,1,2,428803571509,36113829804,328765.76099999994,104113163,13488,715026
3,1,3,429043455756,35268856453,273724.5870000003,100972086,13200,694668
4,1,4,434146594836,35569172167,310622.46100000106,101936875,13646,700466
5,1,5,440449502103,36235239171,283826.6049999998,102799995,13493,710918
6,1,6,319084688862,25498369298,120364.22000000004,72410677,10551,503646
7,2,0,489165331269,39027291270,389644.76800000033,113056006,14707,768274
8,2,1,486210158080,38658023928,353689.4220000006,111491802,14541,759486
9,2,2,457752299824,38326039918,375194.4329999994,111240564,14477,758030
10,2,3,461342073946,37758983572,322819.7780000005,109018980,14339,744224
11,2,4,484573645020,39698250245,391224.4819999999,113991425,14998,778830
12,2,5,512979451089,41942452708,494912.4750000003,121111665,15376,821431
13,2,6,513299316680,41410278740,537907.9500000002,120814091,15525,813605
14,3,0,555310419935,44701724350,878694.0340000022,130179876,16273,538288
15,3,1,553082432346,44385322939,787150.0720000004,129283280,16312,534480
16,3,2,517978726810,43732947791,850584.8900000005,127897439,15944,529120
17,3,3,532409305591,43843182328,723396.2899999986,127841667,16114,529384
18,3,4,548682014886,45036085613,857759.0330000004,131228832,16473,542768
19,3,5,570573702421,46776984440,1148878.7939999993,136665999,16584,560904
20,3,6,565621687533,45784911252,1216198.0389999982,135453782,16578,552080
21,4,0,467239534884,37253524249,350646.09599999944,108383150,14195,511200
22,4,1,463603149033,36866976831,315928.62299999985,106736243,14025,504873
23,4,2,437871838326,36744711320,337105.1530000007,107098964,13994,505944
24,4,3,435828885121,35581289125,279488.6240000004,103247933,13662,489114
25,4,4,463699083640,37881426999,340953.03000000113,109287772,14480,518706
26,4,5,496135302478,40457561544,451069.95700000087,117335279,15065,552141
27,4,6,501702966217,40379072461,536789.6490000004,117990448,15295,552690
28,5,0,467689020362,37483020122,382527.00800000026,110355336,12755,227728
29,5,1,453119743461,36184110393,328899.46099999966,106650232,12444,220376
30,5,2,422368993858,35783496451,331715.5460000006,105745679,12340,218720
31,5,3,436770874940,35851145559,314279.54300000024,105669465,12363,219088
32,5,4,453152343483,36964200192,338857.60399999964,109300555,12700,225516
33,5,5,477528126785,38926398138,415209.0169999992,114307773,13024,236100
34,5,6,482540420815,38843508593,467870.2479999998,115274064,13252,236172
35,6,0,512549103280,41015619562,485028.66100000095,118136745,15378,806338
36,6,1,504986999135,40199729483,424313.54200000054,115559633,15205,790621
37,6,2,474089189134,39933927984,442234.7350000005,115221484,15045,788684
38,6,3,481264475323,39468250068,373946.47100000124,113607189,14937,778011
39,6,4,497387280309,40655736052,437542.7859999988,116740392,15424,799838
40,6,5,533023077251,43607482777,629961.4789999997,125208083,15982,853450
41,6,6,535717742728,43217410170,753369.9429999976,125475646,16044,849667
42,7,0,494052174098,39478062763,508060.48100000084,114341814,14606,479256
43,7,1,486903541598,38710742487,460658.09600000025,112416383,14536,470880
44,7,2,461383669843,38634346506,500160.13800000044,112403454,14363,471224
45,7,3,463445618712,37845856688,421073.93800000026,110027858,14248,461888
46,7,4,479207548085,38944506709,477870.77500000095,112907930,14736,474152
47,7,5,479809599527,39118005815,470388.4839999998,113205324,14667,474568
48,7,6,473567757787,38105412614,445098.01099999936,111485733,14643,464216
49,8,0,532013322910,42800096393,531784.7359999995,123746181,15992,515752
50,8,1,525068057591,42183593665,477263.8429999998,121736194,15872,508104
51,8,2,497188466409,42090226082,535932.2679999989,121983710,15720,509616
52,8,3,506096917921,41703049120,464078.27399999904,120839211,15824,503992
53,8,4,524579522399,43123172155,547582.2469999986,124678178,16431,519704
54,8,5,552576045325,45412441528,726207.9489999985,131558516,16603,544872
55,8,6,544810902210,44121388477,714914.0769999999,129221417,16497,532360
56,9,0,455673181451,35983421897,580350.9700000006,104974837,11106,331446
57,9,1,455091590552,35905493162,525689.077000001,104378747,11110,329880
58,9,2,414239872584,34474214631,458736.5179999994,100804028,10774,318210
59,9,3,440652280117,35747457792,489923.59000000084,104445514,11136,329208
60,9,4,438855488224,35398467307,437640.1429999993,102818724,10943,325470
61,9,5,478837717447,38562135110,720306.9069999991,113085113,11853,354090
62,9,6,478623596141,37980405673,814207.6319999988,112692526,11896,350622
63,10,0,304670287919,24152530044,249532.3900000001,67931136,6009,552315
64,10,1,303087648228,24106454699,233498.4069999997,67233879,5863,548385
65,10,2,268330549528,22428371947,196605.1610000002,63333551,5482,514890
66,10,3,283074096264,22967333335,199183.10100000043,64550488,5750,526665
67,10,4,281667640135,22836864747,189412.22600000008,63619399,5385,520755
68,10,5,322327204210,26110868857,303189.7459999999,72942806,6259,595230
69,10,6,320241969627,25506247305,301770.9220000002,72010826,6383,585255
